"","INDINF_CPI_M","INDINF_LOWTARGET","INDINF_UPPTARGET","Volume","Monthly_Change","INDINF_CPI_COMMON_M","INDINF_CPI_MEDIAN_M","INDINF_CPI_TRIM_M"
"73",0.01,0.01,0.03,127988440000,0.0223837075290598,0.017,0.012,0.011
"74",0.007,0.01,0.03,134975140000,0.0375738447528078,0.017,0.011,0.01
"75",0.007,0.01,0.03,123103450000,-0.0619501748883859,0.016,0.011,0.01
"76",0.01,0.01,0.03,158200700000,0.0451628623557656,0.016,0.011,0.011
"77",0.016,0.01,0.03,127162480000,0.0631877902212283,0.017,0.012,0.013
"78",0.015,0.01,0.03,118637400000,-0.0246482936110716,0.017,0.012,0.013
"79",0.016,0.01,0.03,138257550000,0.0245988333182456,0.016,0.012,0.013
"80",0.019,0.01,0.03,117916390000,0.0101139642813699,0.016,0.012,0.013
"81",0.021,0.01,0.03,132277460000,-0.0155628011580285,0.016,0.012,0.013
"82",0.026,0.01,0.03,145489010000,-0.00187921190773588,0.016,0.013,0.015
"83",0.023,0.01,0.03,126461540000,0.0429021072529843,0.015,0.013,0.015
"84",0.022,0.01,0.03,155234070000,0.0367961181919954,0.015,0.013,0.015
"85",0.026,0.01,0.03,108993790000,0.118380421484982,0.016,0.014,0.016
"86",0.022,0.01,0.03,140128120000,0.00799874082575713,0.014,0.013,0.015
"87",0.027,0.01,0.03,90717750000,0.076393441990996,0.015,0.014,0.016
"88",0.03,0.01,0.03,136478380000,0.0365210199364661,0.015,0.014,0.016
"89",0.022,0.01,0.03,183972230000,-0.0121323107516343,0.014,0.013,0.015
"90",0.024,0.01,0.03,213776740000,-0.0102271826991772,0.016,0.014,0.016
"91",0.028,0.01,0.03,1.91639e+11,0.101977950713359,0.016,0.016,0.018
"92",0.029,0.01,0.03,149624800000,0.0206757692119073,0.017,0.016,0.018
"93",0.026,0.01,0.03,177733470000,0.0808741437177918,0.017,0.017,0.019
"94",0.027,0.01,0.03,175264880000,-0.0773477688952624,0.017,0.016,0.018
"95",0.028,0.01,0.03,214771900000,-0.0711416331033851,0.016,0.017,0.019
"96",0.032,0.01,0.03,186561110000,-0.0850345710660732,0.017,0.018,0.02
"97",0.032,0.01,0.03,199955980000,0.0129026178250407,0.017,0.019,0.021
"98",0.03,0.01,0.03,215022700000,0.0434534613347857,0.018,0.02,0.022
"99",0.029,0.01,0.03,207352030000,-0.133363385560338,0.018,0.021,0.022
"100",0.024,0.01,0.03,236355100000,-0.0582643474368961,0.018,0.021,0.021
"101",0.035,0.01,0.03,210965280000,0.0445057962670872,0.02,0.022,0.024
"102",0.039,0.01,0.03,253482420000,0.0270933230997981,0.02,0.023,0.024
"103",0.034,0.01,0.03,234785490000,-0.0521324697814213,0.02,0.022,0.024
"104",0.027,0.01,0.03,159700040000,-0.00603636156242737,0.02,0.023,0.024
"105",0.028,0.01,0.03,168179320000,-0.0377778057184712,0.02,0.023,0.024
"106",0.026,0.01,0.03,199016980000,-0.0757649586746991,0.02,0.023,0.023
"107",0.019,0.01,0.03,227734250000,0.00688738869432881,0.021,0.022,0.022
